Feature,Importance
monthly_growth,0.47013862707196086
rolling_avg_3mo,0.35348264394129153
prev_month_sales,0.12381212415605647
is_peak_season,0.01806934926798574
yearly_growth,0.01695699992298614
prev_year_sales,0.008721097094080124
Month,0.007393390359537537
is_low_season,0.0005909901555768845
season_Winter,0.00037325333069753005
rolling_avg_12mo,0.00023646970937210172
Year,0.00012770536910171088
season_Spring,4.178728150646352e-05
sales_volatility,3.566290266701907e-05
Cost,1.7263546308704408e-05
Product_Code,2.6358908712576675e-06
season_Summer,0.0
